"No","Symbol","Name","Latest","Chg","% Chg","Volume","Turnover","Market Cap","Price per lot","Bid","Ask","Bid Size","Ask Size","Open","Prev Close","High","Low","% Volume","Bid/Ask Ratio","% Amplitude","P/E","Turnover Ratio","Change Rate","5M Ranking","5D Ranking","10D Ranking","20D Ranking","60D Ranking","120D Ranking","250D Ranking","YTD % Chg","Industry"
"54","VET","Vermilion Energy","12.010","-0.050","-0.41%","1277539","15484220","1966037000","12.010","11.790","12.210","100","100","12.160","12.060","12.310","11.940","1.06","0.00%","3.07","2.129","0.80","0.04","0.21%","-3.50%","0.18%","-3.34%","-7.63%","-10.91%","-19.77%","-0.41%","Oil & Gas E&P"
"55","CKX","CKX Lands","12.908","-0.055","-0.43%","901","11634","25486496.044","12.908","12.770","13.100","200","200","12.885","12.964","12.908","12.885","1.15","0.00%","0.18","-19.266","0.07","0.00","0.00%","-0.55%","1.96%","2.37%","5.29%","31.05%","28.80%","-0.43%","Oil & Gas E&P"
"56","CIVI","Civitas Resources","68.080","-0.300","-0.44%","771376","53026121","6384123503.76","68.080","67.650","70.270","100","100","69.100","68.380","69.920","67.680","0.93","0.00%","3.28","4.669","0.91","-0.06","0.18%","-2.31%","-1.26%","0.64%","0.07%","-1.31%","38.35%","-0.44%","Oil & Gas E&P"
"57","ERF","Enerplus","15.270","-0.070","-0.46%","1377367","21142882","3138434777.85","15.270","13.980","18.000","700","100","15.370","15.340","15.510","15.190","1.10","75.00%","2.09","4.050","0.67","0.10","0.23%","-1.36%","3.32%","-4.26%","-5.09%","2.08%","-4.36%","-0.46%","Oil & Gas E&P"
"58","VTLE","Vital Energy","45.210","-0.280","-0.62%","594128","27271238","1573333995.75","45.210","45.040","45.870","2000","100","45.970","45.490","47.140","44.920","0.67","90.48%","4.88","1.207","2.56","-0.11","0.22%","-0.59%","1.62%","0.29%","-1.67%","-7.49%","-6.65%","-0.62%","Oil & Gas E&P"
"59","NOG","Northern Oil & Gas","36.840","-0.230","-0.62%","903526","33575413","3702701383.92","36.840","36.600","38.730","100","100","37.440","37.070","37.810","36.670","0.87","0.00%","3.08","4.130","0.96","-0.01","0.08%","-1.60%","1.57%","-1.78%","-1.16%","4.92%","32.54%","-0.62%","Oil & Gas E&P"
"60","OBE","Obsidian Energy Ltd","6.710","-0.070","-1.03%","350316","2376939","530549889.98","6.710","6.700","7.000","400","500","6.910","6.780","6.945","6.660","1.18","-11.11%","4.20","0.944","0.45","0.22","0.37%","-6.02%","-2.47%","-11.36%","-11.71%","1.21%","13.34%","-1.03%","Oil & Gas E&P"
"61","CRC","California Resources","54.000","-0.680","-1.24%","573433","31307758","3705471954","54.000","35.690","58.880","100","300","54.840","54.680","55.610","53.770","1.39","-50.00%","3.37","8.000","0.89","0.12","0.20%","-0.55%","3.91%","4.41%","3.48%","15.83%","33.51%","-1.24%","Oil & Gas E&P"
"62","REPX","Riley Exploration Permian","26.810","-0.430","-1.58%","70979","1942396","547626395.19","26.810","25.550","36.370","400","700","27.560","27.240","28.085","26.770","1.22","-27.27%","4.83","4.475","1.23","-0.07","-0.11%","-3.67%","0.04%","4.36%","-2.09%","-24.62%","2.16%","-1.58%","Oil & Gas E&P"
"63","SBOW","SilverBow Resources","28.610","-0.470","-1.62%","436143","12738173","727541142.1","28.610","28.600","29.000","2000","700","29.350","29.080","30.000","28.480","1.26","48.15%","5.23","1.688","2.48","0.14","0.10%","-0.76%","0.28%","-10.87%","-7.65%","-7.29%","14.49%","-1.62%","Oil & Gas E&P"
"64","CLMT","Calumet Partners","17.550","-0.320","-1.79%","81174","1435447","1403427220.65","17.550","17.670","17.920","1100","100","17.870","17.870","17.995","17.410","0.68","83.33%","3.27","-8.602","0.15","-0.85","-0.06%","2.15%","3.42%","-0.45%","-2.17%","4.03%","7.34%","-1.79%","Oil & Gas E&P"
"65","CRGY","Crescent Energy","12.860","-0.350","-2.65%","831616","10807608","1178089168","12.860","12.310","13.540","100","100","13.250","13.210","13.308","12.760","1.14","0.00%","4.14","5.845","0.96","0.19","0.43%","-2.50%","7.71%","11.54%","21.63%","21.81%","17.93%","-2.65%","Oil & Gas E&P"
"66","VIST","Vista Oil & Gas","28.510","-1.000","-3.39%","331382","9554037","2713136958.47","28.510","28.500","29.850","100","100","29.650","29.510","29.961","28.430","0.98","0.00%","5.19","10.348","0.49","-0.11","-0.12%","-4.46%","-0.35%","-8.30%","-2.09%","6.82%","98.40%","-3.39%","Oil & Gas E&P"
"67","MNR","Mach Natural Resources","15.900","-0.590","-3.58%","246194","3949920","1510500000","15.900","13.970","0.000","100","0","16.490","16.490","16.600","15.900","1.08","100.00%","4.24","2.380","2.46","-0.50","-0.38%","1.99%","6.28%","-10.62%","-16.32%","-16.32%","-16.32%","-3.58%","Oil & Gas E&P"
"68","PNRG","PrimeEnergy Resources","101.810","-4.540","-4.27%","3557","369149","185352842.56","101.810","41.500","166.000","400","400","107.222","106.350","107.222","101.810","2.39","0.00%","5.09","5.671","0.69","-5.05","-5.05%","-7.41%","-5.68%","-7.01%","-6.76%","12.82%","17.45%","-4.27%","Oil & Gas E&P"
"69","EP","Empire Petroleum","10.410","-0.580","-5.28%","38166","395207","251225831.25","10.410","0.000","0.000","0","0","10.940","10.990","10.940","10.010","0.92","0.00%","8.46","34.700","0.23","0.29","0.19%","-0.76%","13.77%","16.31%","16.05%","18.43%","-5.88%","-5.28%","Oil & Gas E&P"
